folder,file,ys,guide,rep,6,colonies_cutoff,promoter,guide_id,recruit,replicate
20240331_ys227_rpr1,ys227_rpr_00023.jpg,ys227,RPR_G12,1,NA,2088,RPR1,G12,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00024.jpg,ys227,RPR_G12,2,NA,2849,RPR1,G12,LexA-FHA,D2
20240331_ys227_rpr1,ys227_rpr_00031.jpg,ys227,RPR_G08,1,NA,1993,RPR1,G08,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00032.jpg,ys227,RPR_G08,2,NA,2110,RPR1,G08,LexA-FHA,D2
20240218,0500001.jpg,ys78,SNR52_G01,1,NA,7547,SNR52,G01,No,D1
20240218,0500002.jpg,ys78,SNR52_G01,2,NA,8165,SNR52,G01,No,D2
20240218,0500003.jpg,ys78,SNR52_G02,1,concatemer,7393,SNR52,G02,No,D1
20240218,0500004.jpg,ys78,SNR52_G02,2,concatemer,7033,SNR52,G02,No,D2
20240218,0500005.jpg,ys78,SNR52_G03,1,NA,8568,SNR52,G03,No,D1
20240218,0500006.jpg,ys78,SNR52_G03,2,NA,8038,SNR52,G03,No,D2
20240218,0500007.jpg,ys78,SNR52_G04,1,NA,6263,SNR52,G04,No,D1
20240218,0500008.jpg,ys78,SNR52_G04,2,NA,7376,SNR52,G04,No,D2
20240218,0500009.jpg,ys78,SNR52_G05,1,NA,8228,SNR52,G05,No,D1
20240218,0500010.jpg,ys78,SNR52_G05,2,NA,8737,SNR52,G05,No,D2
20240218,0500011.jpg,ys78,SNR52_G06,1,NA,8964,SNR52,G06,No,D1
20240218,0500012.jpg,ys78,SNR52_G06,2,NA,8443,SNR52,G06,No,D2
20240218,0500013.jpg,ys78,SNR52_G07,1,NA,568,SNR52,G07,No,D1
20240218,0500014.jpg,ys78,SNR52_G07,2,NA,564,SNR52,G07,No,D2
20240218,0500015.jpg,ys78,SNR52_G08,1,NA,158,SNR52,G08,No,D1
20240218,0500016.jpg,ys78,SNR52_G08,2,NA,164,SNR52,G08,No,D2
20240218,0500017.jpg,ys78,SNR52_G09,1,NA,4964,SNR52,G09,No,D1
20240218,0500018.jpg,ys78,SNR52_G09,2,NA,4759,SNR52,G09,No,D2
20240218,0500019.jpg,ys78,SNR52_G10,1,NA,166,SNR52,G10,No,D1
20240218,0500020.jpg,ys78,SNR52_G10,2,NA,210,SNR52,G10,No,D2
20240218,0500021.jpg,ys78,SNR52_G11,1,NA,1245,SNR52,G11,No,D1
20240218,0500022.jpg,ys78,SNR52_G11,2,NA,1044,SNR52,G11,No,D2
20240218,0500023.jpg,ys78,SNR52_G12,1,NA,3845,SNR52,G12,No,D1
20240218,0500024.jpg,ys78,SNR52_G12,2,NA,3470,SNR52,G12,No,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00001.jpg,ys227,SNR52_G01,1,NA,2563,SNR52,G01,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00002.jpg,ys227,SNR52_G01,2,NA,2833,SNR52,G01,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00003.jpg,ys227,SNR52_G02,1,concatemer,6010,SNR52,G02,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00004.jpg,ys227,SNR52_G02,2,concatemer,5194,SNR52,G02,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00005.jpg,ys227,SNR52_G03,1,NA,5558,SNR52,G03,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00006.jpg,ys227,SNR52_G03,2,NA,4313,SNR52,G03,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00007.jpg,ys227,SNR52_G04,1,NA,5370,SNR52,G04,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00008.jpg,ys227,SNR52_G04,2,NA,5423,SNR52,G04,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00009.jpg,ys227,SNR52_G05,1,NA,5407,SNR52,G05,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00010.jpg,ys227,SNR52_G05,2,NA,5536,SNR52,G05,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00011.jpg,ys227,SNR52_G06,1,NA,4944,SNR52,G06,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00012.jpg,ys227,SNR52_G06,2,NA,4900,SNR52,G06,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00013.jpg,ys227,SNR52_G07,1,NA,2884,SNR52,G07,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00014.jpg,ys227,SNR52_G07,2,NA,2770,SNR52,G07,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00015.jpg,ys227,SNR52_G08,1,NA,1377,SNR52,G08,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00016.jpg,ys227,SNR52_G08,2,NA,1462,SNR52,G08,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00017.jpg,ys227,SNR52_G09,1,NA,3624,SNR52,G09,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00018.jpg,ys227,SNR52_G09,2,NA,3247,SNR52,G09,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00019.jpg,ys227,SNR52_G10,1,NA,1235,SNR52,G10,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00020.jpg,ys227,SNR52_G10,2,NA,1090,SNR52,G10,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00021.jpg,ys227,SNR52_G11,1,NA,2291,SNR52,G11,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00022.jpg,ys227,SNR52_G11,2,NA,1970,SNR52,G11,LexA-FHA,D2
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00023.jpg,ys227,SNR52_G12,1,NA,2373,SNR52,G12,LexA-FHA,D1
20240307_ys227_don_recruit_pTEF_Cas12a,ys227_00024.jpg,ys227,SNR52_G12,2,NA,2546,SNR52,G12,LexA-FHA,D2
20240412_E6_guide_SNR52_redone,concat_g2_redone_00003.jpg,ys78,SNR52_G02,1,NA,6078,SNR52,G02,No,D1
20240412_E6_guide_SNR52_redone,concat_g2_redone_00004.jpg,ys78,SNR52_G02,2,NA,6233,SNR52,G02,No,D2
20240412_E6_guide_SNR52_redone,concat_g2_redone_00007.jpg,ys227,SNR52_G02,1,NA,6094,SNR52,G02,LexA-FHA,D1
20240412_E6_guide_SNR52_redone,concat_g2_redone_00008.jpg,ys227,SNR52_G02,2,NA,5961,SNR52,G02,LexA-FHA,D2
