guide,promoter,recruit,timepoint,avg_value,condition_label,well_position
G06,SNR52,No,scraped,9.001021285515925,SNR52 + No,G06
G06,SNR52,No,6_gen,89.70238440989274,SNR52 + No,G06
G06,SNR52,No,12_gen,98.1459898993302,SNR52 + No,G06
G07,RPR1,LexA-FHA,scraped,99.47787032981151,RPR1 + LexA-FHA,G07
G07,RPR1,LexA-FHA,6_gen,99.6883667997315,RPR1 + LexA-FHA,G07
G07,RPR1,LexA-FHA,12_gen,99.68184834743414,RPR1 + LexA-FHA,G07
G07,RPR1,No,scraped,95.8454210885638,RPR1 + No,G07
G07,RPR1,No,6_gen,96.91206589887804,RPR1 + No,G07
G07,RPR1,No,12_gen,97.46344676652146,RPR1 + No,G07
G07,SNR52,LexA-FHA,scraped,99.5751450720298,SNR52 + LexA-FHA,G07
G07,SNR52,LexA-FHA,6_gen,99.66031822158081,SNR52 + LexA-FHA,G07
G07,SNR52,LexA-FHA,12_gen,99.7156781400618,SNR52 + LexA-FHA,G07
G07,SNR52,No,scraped,99.1997146846457,SNR52 + No,G07
G07,SNR52,No,6_gen,99.52164271330079,SNR52 + No,G07
G07,SNR52,No,12_gen,99.52399690068626,SNR52 + No,G07
G08,RPR1,LexA-FHA,scraped,99.76282270881731,RPR1 + LexA-FHA,G08
G08,RPR1,LexA-FHA,6_gen,99.84224787761386,RPR1 + LexA-FHA,G08
G08,RPR1,LexA-FHA,12_gen,99.83228267951799,RPR1 + LexA-FHA,G08
G08,RPR1,No,scraped,98.80230564650509,RPR1 + No,G08
G08,RPR1,No,6_gen,98.90135582745995,RPR1 + No,G08
G08,RPR1,No,12_gen,98.9555796542958,RPR1 + No,G08
G08,SNR52,LexA-FHA,scraped,99.7461047533241,SNR52 + LexA-FHA,G08
G08,SNR52,LexA-FHA,6_gen,99.7207856363101,SNR52 + LexA-FHA,G08
G08,SNR52,LexA-FHA,12_gen,99.77399624260485,SNR52 + LexA-FHA,G08
G08,SNR52,No,scraped,99.2706171026621,SNR52 + No,G08
G08,SNR52,No,6_gen,99.4000340017329,SNR52 + No,G08
G08,SNR52,No,12_gen,99.43861072428834,SNR52 + No,G08
G09,RPR1,LexA-FHA,scraped,97.4862577461488,RPR1 + LexA-FHA,G09
G09,RPR1,LexA-FHA,6_gen,98.9222686811329,RPR1 + LexA-FHA,G09
G09,RPR1,LexA-FHA,12_gen,98.51639477987786,RPR1 + LexA-FHA,G09
G09,RPR1,No,scraped,96.5390514936633,RPR1 + No,G09
G09,RPR1,No,6_gen,96.93871426339581,RPR1 + No,G09
G09,RPR1,No,12_gen,96.82262810639975,RPR1 + No,G09
G09,SNR52,LexA-FHA,scraped,78.67834680251676,SNR52 + LexA-FHA,G09
G09,SNR52,LexA-FHA,6_gen,97.12910120776705,SNR52 + LexA-FHA,G09
G09,SNR52,LexA-FHA,12_gen,98.66724278671614,SNR52 + LexA-FHA,G09
G09,SNR52,No,scraped,68.68979857936259,SNR52 + No,G09
G09,SNR52,No,6_gen,97.8807908279379,SNR52 + No,G09
G09,SNR52,No,12_gen,98.4487034708392,SNR52 + No,G09
G10,RPR1,LexA-FHA,scraped,91.03772983074751,RPR1 + LexA-FHA,G10
G10,RPR1,LexA-FHA,6_gen,91.7648311112831,RPR1 + LexA-FHA,G10
G10,RPR1,LexA-FHA,12_gen,92.27969182179456,RPR1 + LexA-FHA,G10
G10,RPR1,No,scraped,80.11205443416925,RPR1 + No,G10
G10,RPR1,No,6_gen,79.38139311813686,RPR1 + No,G10
G10,RPR1,No,12_gen,78.04176474002361,RPR1 + No,G10
G10,SNR52,LexA-FHA,scraped,91.20603174706474,SNR52 + LexA-FHA,G10
G10,SNR52,LexA-FHA,6_gen,92.04533232109625,SNR52 + LexA-FHA,G10
G10,SNR52,LexA-FHA,12_gen,92.70712724694431,SNR52 + LexA-FHA,G10
G10,SNR52,No,scraped,88.97498024434415,SNR52 + No,G10
G10,SNR52,No,6_gen,89.73780750816846,SNR52 + No,G10
G10,SNR52,No,12_gen,90.639305642859,SNR52 + No,G10
G11,RPR1,LexA-FHA,scraped,99.2656586305653,RPR1 + LexA-FHA,G11
G11,RPR1,LexA-FHA,6_gen,99.5123547531393,RPR1 + LexA-FHA,G11
G11,RPR1,LexA-FHA,12_gen,99.57760183383596,RPR1 + LexA-FHA,G11
G11,RPR1,No,scraped,98.70379541076765,RPR1 + No,G11
G11,RPR1,No,6_gen,99.3734727876184,RPR1 + No,G11
G11,RPR1,No,12_gen,99.35406389370524,RPR1 + No,G11
G11,SNR52,LexA-FHA,scraped,99.2062710385996,SNR52 + LexA-FHA,G11
G11,SNR52,LexA-FHA,6_gen,99.503552025602,SNR52 + LexA-FHA,G11
G11,SNR52,LexA-FHA,12_gen,99.48259828744145,SNR52 + LexA-FHA,G11
G11,SNR52,No,scraped,98.4729202505313,SNR52 + No,G11
G11,SNR52,No,6_gen,98.9455983442898,SNR52 + No,G11
G11,SNR52,No,12_gen,98.7664575151208,SNR52 + No,G11
G12,RPR1,LexA-FHA,scraped,75.52182864968955,RPR1 + LexA-FHA,G12
G12,RPR1,LexA-FHA,6_gen,98.03890986356325,RPR1 + LexA-FHA,G12
G12,RPR1,LexA-FHA,12_gen,98.67114575353429,RPR1 + LexA-FHA,G12
G12,RPR1,No,scraped,25.3513083536792,RPR1 + No,G12
G12,RPR1,No,6_gen,71.7106285219927,RPR1 + No,G12
G12,RPR1,No,12_gen,61.02317159382475,RPR1 + No,G12
G12,SNR52,LexA-FHA,scraped,97.22479483659609,SNR52 + LexA-FHA,G12
G12,SNR52,LexA-FHA,6_gen,99.13100897990925,SNR52 + LexA-FHA,G12
G12,SNR52,LexA-FHA,12_gen,99.2108518892247,SNR52 + LexA-FHA,G12
G12,SNR52,No,scraped,91.78976023748456,SNR52 + No,G12
G12,SNR52,No,6_gen,98.3945097560466,SNR52 + No,G12
G12,SNR52,No,12_gen,98.11650031632365,SNR52 + No,G12
