archive,file_bytes,sha256,included_in_release,name,experiment_key,plate,instrument_well,biological_sample,well_position,assay,cas_variant,cas_promoter,guide_promoter,direct_repeat,donor_recruitment,guide_id,strain,replicate,timepoint,generations,control,figure,paper_panel,source_table
cas12a_precision_editing_figure1_fcs.zip,1008200,0e6e55f7732d698a25e6380884955e1522f3ac9ea89403a2e114824336cff2ea,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_C05.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,C05,C2,,GFP_OFF,enAsCas12a,PGK1,SNR52,As_DR,,,,1,11_gen,6.1,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,35cfab3d3efdfd6d680586342c706d218f23809e71089f928a436fb94c92695b,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_C06.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,C06,C6,,GFP_OFF,LbCas12a,PGK1,SNR52,As_DR,,,,1,11_gen,7.0,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,6ccaf6b7b7a8f0ca982abfa25dddf136bd06198abd29e2ae908e766d5c3cf410,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_D05.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,D05,C2,,GFP_OFF,enAsCas12a,PGK1,SNR52,As_DR,,,,2,11_gen,6.4,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,04e81426a73e0eed9c27742ca6b0b7a2951e7928fbcee77db1fefc045ec39bae,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_D06.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,D06,C6,,GFP_OFF,LbCas12a,PGK1,SNR52,As_DR,,,,2,11_gen,6.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,39d7df8c63e62f472ff377726f6a036b44999fadb7687263ca952eed7e3ff6c0,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_E06.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,E06,C7,,GFP_OFF,AsCas12a,PGK1,SNR52,As_DR,,,,1,11_gen,6.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,eff96d1b342943382cc0b6691b0bd54b528669d5211a497c4fabef1ab2cc8aec,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_F06.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,F06,C7,,GFP_OFF,AsCas12a,PGK1,SNR52,As_DR,,,,2,11_gen,7.1,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,038590396ba1f0924c65308e37b136ad5c32195104343e03a9abba6ee146a65c,True,VB_20241007_MbCas12a_PGK1_Experiment_T03_C3.fcs,cas_variant_gfp_off,VB_20241007_MbCas12a_PGK1,,C3,,GFP_OFF,MbCas12a,PGK1,SNR52,As_DR,,,,1,11_gen,12.06455656,No,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,2dc9c9eb1455eada253a2511b6ea099c0925e1ac97d2a66d137f427a7a332e34,True,VB_20241007_MbCas12a_PGK1_Experiment_T03_D3.fcs,cas_variant_gfp_off,VB_20241007_MbCas12a_PGK1,,D3,,GFP_OFF,MbCas12a,PGK1,SNR52,As_DR,,,,2,11_gen,11.84770171,No,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,c819185873e85e7527bf4da961a7fafb1e46f0c65cb8c0264eb77e56e61d3a73,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_A08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),A08,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,1,20_gen,9.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,70456de2cc27b0f96215a4d82cc031cc7f90306ea0f467089a60fa1bd1869304,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_B08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),B08,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,2,20_gen,9.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,f4ead70d5d80b22d5a3119c9b570a910de20a7549216b2a65d96773e3d20e605,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_C07.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C07,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,1,20_gen,9.3,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,901b1fa6630c60f5f5168658e873e246ba588b48eee9abdca554b8a61d38de33,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_C08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C08,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,1,20_gen,9.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,d346359f74bf1ce62807b229a5d138384c9c4df805c6b3f710cece3d3de2d3b8,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_D07.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D07,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,2,20_gen,9.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,5228df5f1acc8481a7d1332d5fae9e3e6d4c0b360fd0d2bcca5bd603cdea965f,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_D08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D08,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,2,20_gen,9.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,6ee6a2110bbc5ad0366b94fcf0d8bf655d55d1bfb6476c368b07aa4c1e83fa41,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_E08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),E08,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,1,20_gen,9.7,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,460b794dfaa9ae4649b951e54f56f39669d63c3c0714c4334cfe79b2ca0bb525,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_F08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),F08,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,2,20_gen,9.7,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,04b29ab3c0f81528fde9858dac23182b4b3267fe29ee6745a95e45daec6b83eb,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_G08.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),G08,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,1,20_gen,9.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
