name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency
NA,NA,NA,NA,C6,NA,LbCas12a,2,no,PGK1,11_gen,11.7,98.468
NA,NA,NA,NA,C6,NA,LbCas12a,2,no,PGK1,20_gen,21,99.516
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,scraped,0,62.212
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,6_gen,7.6,98.572
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,11_gen,13.2,99.452
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,20_gen,22.4,99.712
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,scraped,0,99.72
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,6_gen,7.1,99.72800000000001
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,11_gen,13.5,99.856
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,20_gen,23.1,99.928
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,scraped,0,1.4080000000000001
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,6_gen,6.4,0.248000000000004
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,11_gen,12.2,0.9759999999999989
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,20_gen,21,0.307999999999997
VB_20241007_MbCas12a_PGK1_Experiment_T01_C1.fcs,root,1,VB_20241007_MbCas12a_PGK1,C1,T01,MbCas12a,1,no,PGK1,T01,0,11.675999999999998
VB_20241007_MbCas12a_PGK1_Experiment_T01_D1.fcs,root,1,VB_20241007_MbCas12a_PGK1,D1,T01,MbCas12a,2,no,PGK1,T01,0,11.568000000000001
VB_20241007_MbCas12a_PGK1_Experiment_T02_C2.fcs,root,1,VB_20241007_MbCas12a_PGK1,C2,T02,MbCas12a,1,no,PGK1,T02,4.155727282,91.408
VB_20241007_MbCas12a_PGK1_Experiment_T02_D2.fcs,root,1,VB_20241007_MbCas12a_PGK1,D2,T02,MbCas12a,2,no,PGK1,T02,3.840796879,90.704
VB_20241007_MbCas12a_PGK1_Experiment_T03_C3.fcs,root,1,VB_20241007_MbCas12a_PGK1,C3,T03,MbCas12a,1,no,PGK1,T03,12.06455656,98.724
VB_20241007_MbCas12a_PGK1_Experiment_T03_D3.fcs,root,1,VB_20241007_MbCas12a_PGK1,D3,T03,MbCas12a,2,no,PGK1,T03,11.84770171,98.48
VB_20241007_MbCas12a_PGK1_Experiment_T04_C4.fcs,root,1,VB_20241007_MbCas12a_PGK1,C4,T04,MbCas12a,1,no,PGK1,T04,18.18349764,99.69200000000001
VB_20241007_MbCas12a_PGK1_Experiment_T04_D4.fcs,root,1,VB_20241007_MbCas12a_PGK1,D4,T04,MbCas12a,2,no,PGK1,T04,18.04737405,99.412
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,6_gen,6.2,31.848
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,6_gen,6.4,44.308
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,6_gen,6.5,26.072
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,scraped,0,5.392
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,scraped,0,7.22
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,scraped,0,2.52
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,6_gen,6.3,27.968
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,6_gen,6.2,39.367999999999995
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,6_gen,5.9,22.408
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,scraped,0,6.184
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,scraped,0,7.828
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,scraped,0,3.444
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,6_gen,8.9,99.088
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,6_gen,8.7,99.968
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,6_gen,6.1,29.787999999999997
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,scraped,0,99.03999999999999
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,scraped,0,95.512
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,scraped,0,4.0840000000000005
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,6_gen,8.8,98.66
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,6_gen,8.6,99.944
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,6_gen,6.2,27.988000000000003
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,scraped,0,98.172
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,scraped,0,95.232
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,scraped,0,3.1919999999999997
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,6_gen,8.2,98.892
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,scraped,0,71.98400000000001
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,6_gen,8.5,98.996
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,scraped,0,72.78
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,11_gen,11,49.147999999999996
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,11_gen,11.6,67.656
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,11_gen,12,37.864
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,11_gen,10.8,45.328
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,11_gen,11.4,62.184
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,11_gen,11.4,32.903999999999996
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,11_gen,13,99.06
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,11_gen,13.7,99.94
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,11_gen,11.6,43.604
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,11_gen,13.7,98.964
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,11_gen,13.8,99.988
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,11_gen,11.9,41.324
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,11_gen,13,99.876
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,11_gen,13.2,99.864
NA,NA,NA,NA,NA,NA,LbCas12a(CO),1,no,TEF,20_gen,17.2,69.324
NA,NA,NA,NA,NA,NA,LbCas12a,1,no,TEF,20_gen,17.7,83.784
NA,NA,NA,NA,NA,NA,MbCas12a,1,no,TEF,20_gen,18,51.712
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,20_gen,17.3,66
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,20_gen,17.5,82.07600000000001
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,20_gen,17.1,44.684000000000005
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,20_gen,20.2,98.848
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,20_gen,19.9,99.968
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,20_gen,17.4,59.032
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,20_gen,20.5,99.168
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,20_gen,19.8,99.992
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,20_gen,17.4,55.728
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,20_gen,20.1,99.976
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,20_gen,19.9,99.964
