name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency
VB_20240909_Cas_vars_Experiment_T02_PGK1_D2_C8.fcs,root,1,VB_20240909_Cas_vars,C8,T02_PGK1_D2,LbCas12a(CO),2,No,PGK1,T02,5.678071905,77.508
VB_20240909_Cas_vars_Experiment_T02_PGK1_D2_D8.fcs,root,1,VB_20240909_Cas_vars,D8,T02_PGK1_D2,FnCas12a(CO),2,No,PGK1,T02,7.307428525,66.656
VB_20240909_Cas_vars_Experiment_T02_PGK1_D2_E8.fcs,root,1,VB_20240909_Cas_vars,E8,T02_PGK1_D2,FnCas12a,2,No,PGK1,T02,7.478971805,78.452
VB_20240909_Cas_vars_Experiment_T02_PGK1_D2_F8.fcs,root,1,VB_20240909_Cas_vars,F8,T02_PGK1_D2,LbCas12a,2,No,PGK1,T02,5.378511623,63.483999999999995
VB_20240909_Cas_vars_Experiment_T02_PGK1_D2_G8.fcs,root,1,VB_20240909_Cas_vars,G8,T02_PGK1_D2,AsCas12a,2,No,PGK1,T02,4.584962501,62.144
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_C5.fcs,root,1,VB_20240909_Cas_vars,C5,T02_TEF_D1,LbCas12a(CO),1,No,TEF,T02,6.857980995,31.408
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_D5.fcs,root,1,VB_20240909_Cas_vars,D5,T02_TEF_D1,FnCas12a(CO),1,No,TEF,T02,7.842978832,76.716
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_E5.fcs,root,1,VB_20240909_Cas_vars,E5,T02_TEF_D1,FnCas12a,1,No,TEF,T02,7.754887502,80.704
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_F5.fcs,root,1,VB_20240909_Cas_vars,F5,T02_TEF_D1,LbCas12a,1,No,TEF,T02,6.459431619,43.616
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_G5.fcs,root,1,VB_20240909_Cas_vars,G5,T02_TEF_D1,AsCas12a,1,No,TEF,T02,6.776103988,25.684
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_H5.fcs,root,1,VB_20240909_Cas_vars,H5,T02_TEF_D1,MbCas12a,1,No,TEF,T02,6.944858446,18.54
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_C6.fcs,root,1,VB_20240909_Cas_vars,C6,T02_TEF_D2,LbCas12a(CO),2,No,TEF,T02,5.459431619,32.572
