name,sample,strain,rep,guide_promoter,control,timepoint,generations,efficiency,var,assay,prom_cas
VB_20240916_PGK1_proms_Experiment_ys289_T02_F9.fcs,F9,ys289,1,SYN1,No,T02,5.963474124,17.076,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C1.fcs,C1,ys318,1,SNR52,Yes,T01,0,0.016,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C10.fcs,C10,ys318,2,SYN1,No,T01,0,86.384,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C2.fcs,C2,ys318,2,SNR52,Yes,T01,0,0.044000000000000004,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C3.fcs,C3,ys318,1,SNR52,No,T01,0,72.82,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C4.fcs,C4,ys318,2,SNR52,No,T01,0,73.736,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C5.fcs,C5,ys318,1,RPR1,No,T01,0,88.252,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C6.fcs,C6,ys318,2,RPR1,No,T01,0,83.176,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C7.fcs,C7,ys318,1,SCR1,No,T01,0,65.9,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C8.fcs,C8,ys318,2,SCR1,No,T01,0,71.43599999999999,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T01_C9.fcs,C9,ys318,1,SYN1,No,T01,0,83.736,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G1.fcs,G1,ys318,1,SNR52,Yes,T02,5.827819025,0.012,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G10.fcs,G10,ys318,2,SYN1,No,T02,7.321928095,77.476,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G2.fcs,G2,ys318,2,SNR52,Yes,T02,5.765534746,0.016,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G3.fcs,G3,ys318,1,SNR52,No,T02,8.419538892,48.788,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G4.fcs,G4,ys318,2,SNR52,No,T02,8.06608919,49.196,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G5.fcs,G5,ys318,1,RPR1,No,T02,6.776103988,71.772,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G6.fcs,G6,ys318,2,RPR1,No,T02,7.053111336,63.592000000000006,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G7.fcs,G7,ys318,1,SCR1,No,T02,7.177917792,43.012,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G8.fcs,G8,ys318,2,SCR1,No,T02,7.517275693,49.832,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys318_T02_G9.fcs,G9,ys318,1,SYN1,No,T02,7.452858965,75.24,enAsCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D1.fcs,D1,ys321,1,SNR52,Yes,T01,0,0.08,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D10.fcs,D10,ys321,2,SYN1,No,T01,0,1.4080000000000001,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D2.fcs,D2,ys321,2,SNR52,Yes,T01,0,0.004,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D3.fcs,D3,ys321,1,SNR52,No,T01,0,77.39200000000001,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D4.fcs,D4,ys321,2,SNR52,No,T01,0,76.492,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D5.fcs,D5,ys321,1,RPR1,No,T01,0,84.724,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D6.fcs,D6,ys321,2,RPR1,No,T01,0,82.592,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D7.fcs,D7,ys321,1,SCR1,No,T01,0,77.252,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D8.fcs,D8,ys321,2,SCR1,No,T01,0,83.87599999999999,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T01_D9.fcs,D9,ys321,1,SYN1,No,T01,0,0.9520000000000001,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H1.fcs,H1,ys321,1,SNR52,Yes,T02,6.247927513,0.036000000000000004,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H10.fcs,H10,ys321,2,SYN1,No,T02,4.678071905,14.2260027865366,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H2.fcs,H2,ys321,2,SNR52,Yes,T02,6.017921908,0.052,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H3.fcs,H3,ys321,1,SNR52,No,T02,6.510961919,64.236,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H4.fcs,H4,ys321,2,SNR52,No,T02,6.99095486,63.588,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H5.fcs,H5,ys321,1,RPR1,No,T02,6.972692654,77.964,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H6.fcs,H6,ys321,2,RPR1,No,T02,7.336283388,73.13199999999999,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H7.fcs,H7,ys321,1,SCR1,No,T02,7.986410935,65.948,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H8.fcs,H8,ys321,2,SCR1,No,T02,6.5360529,76.304,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_Experiment_ys321_T02_H9.fcs,H9,ys321,1,SYN1,No,T02,5.169925001,12.836,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A1.fcs,A1,ys286,1,SNR52,Yes,T03,11.84799691,0.15600000000000058,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A10.fcs,A10,ys286,2,SYN1,No,T03,13.6099913,99.816,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A2.fcs,A2,ys286,2,SNR52,Yes,T03,11.95419631,0.07200000000000539,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A3.fcs,A3,ys286,1,SNR52,No,T03,14.05273106,99.696,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A4.fcs,A4,ys286,2,SNR52,No,T03,13.81461451,99.968,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A5.fcs,A5,ys286,1,RPR1,No,T03,12.75007049,97.624,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A6.fcs,A6,ys286,2,RPR1,No,T03,13.27593824,99.08,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A7.fcs,A7,ys286,1,SCR1,No,T03,11.55949181,97.612,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A8.fcs,A8,ys286,2,SCR1,No,T03,12.17771851,91.644,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T03_A9.fcs,A9,ys286,1,SYN1,No,T03,14.00584908,98.784,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E1.fcs,E1,ys286,1,SNR52,Yes,T04,19.33985,0.036000000000002697,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E10.fcs,E10,ys286,2,SYN1,No,T04,23.18930723,99.952,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E2.fcs,E2,ys286,2,SNR52,Yes,T04,19.15386866,0.10400000000000409,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E3.fcs,E3,ys286,1,SNR52,No,T04,22.20247818,99.928,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E4.fcs,E4,ys286,2,SNR52,No,T04,21.66636355,99.984,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E5.fcs,E5,ys286,1,RPR1,No,T04,20.34998333,98.10799999999999,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E6.fcs,E6,ys286,2,RPR1,No,T04,21.11514203,99.22,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E7.fcs,E7,ys286,1,SCR1,No,T04,19.58739781,97.916,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E8.fcs,E8,ys286,2,SCR1,No,T04,19.95250557,89.86800000000001,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys286_T04_E9.fcs,E9,ys286,1,SYN1,No,T04,23.50768626,98.82,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B1.fcs,B1,ys289,1,SNR52,Yes,T03,13.318588,0.20000000000000018,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B10.fcs,B10,ys289,2,SYN1,No,T03,10.26603689,24.368000000000002,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B2.fcs,B2,ys289,2,SNR52,Yes,T03,12.56437817,1.0480000000000045,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B3.fcs,B3,ys289,1,SNR52,No,T03,13.50462039,98.47200000000001,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B4.fcs,B4,ys289,2,SNR52,No,T03,13.78168756,98.028,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B5.fcs,B5,ys289,1,RPR1,No,T03,12.84799691,99.888,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B6.fcs,B6,ys289,2,RPR1,No,T03,12.97842447,99.98,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B7.fcs,B7,ys289,1,SCR1,No,T03,13.14567746,99.90400000000001,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B8.fcs,B8,ys289,2,SCR1,No,T03,13.58187845,99.024,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T03_B9.fcs,B9,ys289,1,SYN1,No,T03,10.54843662,23.368,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F1.fcs,F1,ys289,1,SNR52,Yes,T04,22.85968461,0.036000000000002697,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F10.fcs,F10,ys289,2,SYN1,No,T04,18.73364244,33.912,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F2.fcs,F2,ys289,2,SNR52,Yes,T04,22.08401442,0.0160000000000049,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F3.fcs,F3,ys289,1,SNR52,No,T04,22.92668516,98.72800000000001,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F4.fcs,F4,ys289,2,SNR52,No,T04,23.14582222,99.90400000000001,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F5.fcs,F5,ys289,1,RPR1,No,T04,22.22520744,99.98,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F6.fcs,F6,ys289,2,RPR1,No,T04,22.04181955,99.98,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys289_T04_F7.fcs,F7,ys289,1,SCR1,No,T04,21.87699649,99.984,FnCas12a,OFF,PGK1
