"guide_gc_18_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",186,112,279,139,0.602150537634409,0.530427951881121,0.669739072940845,0.49820788530466,0.439962387393481,0.556502063029843
"40-49%",91,58,148,72,0.637362637362637,0.534882923607384,0.728714877511055,0.486486486486487,0.407328161173217,0.566328572428615
"50-59%",93,49,171,64,0.526881720430108,0.426370189177197,0.625260590252279,0.374269005847953,0.305246495254121,0.448816412422153
"<30%",116,49,167,57,0.422413793103448,0.33643126163374,0.513370299719652,0.341317365269461,0.273696091989453,0.41607476125744
">=60%",44,30,68,38,0.681818181818182,0.534431039378178,0.800006922891466,0.558823529411765,0.440818653045882,0.670537660304698
