"hotspot_flag","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"Not hotspot",510,288,805,357,0.564705882352941,0.52135113283394,0.607093154537256,0.443478260869565,0.409508813059758,0.477984589995175
"SV hotspot",20,10,28,13,0.5,0.299298008198212,0.700701991801788,0.464285714285714,0.295315699827954,0.641873107655321
