"deepcpf1_quartile","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"Q1 lowest",137,63,217,78,0.45985401459854,0.378632511635228,0.543265485644081,0.359447004608295,0.29855937883216,0.425224369356502
"Q2",138,74,230,94,0.536231884057971,0.453176870428981,0.61732437852279,0.408695652173913,0.347170123288242,0.473221007472686
"Q3",130,77,199,94,0.592307692307692,0.506364549325925,0.672952085530487,0.472361809045226,0.404180308577397,0.541590146516185
"Q4 highest",125,84,187,104,0.672,0.585643132053397,0.748100372510939,0.556149732620321,0.484520702476237,0.62551828029915
