"region_class","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"coding",316,166,522,208,0.525316455696203,0.470285598249526,0.579739186088922,0.398467432950192,0.35735729292775,0.441061035977456
"intergenic",156,95,222,114,0.608974358974359,0.530660663640057,0.682050107713327,0.513513513513513,0.448096761454449,0.578470548335928
"promoter",29,21,45,26,0.724137931034483,0.542828675831341,0.85301244897912,0.577777777777778,0.433007887092031,0.710312975327297
"unknown",29,16,44,22,0.551724137931034,0.375479632109709,0.715868319769628,0.5,0.358317605399894,0.641682394600106
