"pam_dist_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"1-6",162,104,259,129,0.641975308641975,0.565647161187998,0.71172618277019,0.498069498069498,0.437651656314974,0.558543768849356
"7-11",99,64,156,76,0.646464646464647,0.548435972241015,0.733551470688611,0.487179487179487,0.409999682575514,0.564975520794676
"12-17",140,82,222,107,0.585714285714286,0.502892076183873,0.663958289467084,0.481981981981982,0.41711978485087,0.547457135428627
"18-23",67,19,103,26,0.283582089552239,0.189702811817102,0.400932382844805,0.252427184466019,0.17847828801391,0.344178922371148
"PAM",62,29,93,32,0.467741935483871,0.349088329733342,0.59015967491836,0.344086021505376,0.255450687033685,0.445090792275351
