"target_edit_status","colony_count","mean_high_conf_non_target_count","median_high_conf_non_target_count","frac_with_any_high_conf_non_target","mean_max_non_target_score_sv"
"Edited target",370,0.0243243243243243,0,0.0216216216216216,0.163215277502953
"Unedited target",782,0.0179028132992327,0,0.0179028132992327,0.299472263577309
