"filter_label","total_guides","successful_guides","design_success_rate","design_success_lower","design_success_upper","baseline_rate","absolute_gain_vs_all"
"All assayed designs",530,298,0.562264150943396,0.519729605846345,0.603902605383184,0.562264150943396,0
"DeepCpf1 top quartile",125,84,0.672,0.585643132053397,0.748100372510939,0.562264150943396,0.109735849056604
"PAM distance not PAM/18-23",401,250,0.623441396508728,0.575057976729781,0.669482195337545,0.562264150943396,0.061177245565332
"PAM not TTTG",324,198,0.611111111111111,0.557022883513094,0.662595465731072,0.562264150943396,0.048846960167715
"5' PAM base not C",417,242,0.580335731414868,0.532446961487006,0.626757885363757,0.562264150943396,0.0180715804714718
"All 4 optimal filters",58,45,0.775862068965517,0.653388823610813,0.864063393885902,0.562264150943396,0.213597918022121
