"dr_spacer_pair_flag","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"No DR-spacer pairing",372,210,595,257,0.564516129032258,0.513725577484397,0.613987847614083,0.431932773109244,0.392693546561871,0.472045277367397
"Any DR-spacer pairing",158,88,238,113,0.556962025316456,0.479067198205139,0.632152758233479,0.474789915966387,0.412252961227149,0.538127754889449
