"pam_upstream_nt","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"A",134,70,202,85,0.522388059701492,0.438375948189122,0.60515232009339,0.420792079207921,0.354811728167134,0.489728821713661
"C",113,56,183,70,0.495575221238938,0.405063317276751,0.586378076813213,0.382513661202186,0.31520083329945,0.454657525378504
"G",77,47,126,59,0.61038961038961,0.498710668936775,0.711577470935935,0.468253968253968,0.383359019027396,0.555027378717505
"T",206,125,322,156,0.606796116504854,0.538722602978382,0.670959507731672,0.484472049689441,0.430391606516275,0.538918621727262
