"priority","rule","preferred_group","other_group","preferred_designs","other_designs","preferred_design_success_rate","other_design_success_rate","preferred_colony_edit_rate","other_colony_edit_rate","note"
"Primary","Prefer TTTA or TTTC PAMs over TTTG","TTTA or TTTC","TTTG",324,206,0.611111111111111,0.485436893203884,0.490118577075099,0.37308868501529,"Consistent in both marginal summaries and the unified binary cassette-level model."
"Primary","Place the edit 1-17 nt from the PAM","1-17 nt from PAM","PAM-overlapping or 18-23 nt",401,129,0.623441396508728,0.372093023255814,0.489795918367347,0.295918367346939,"PAM-overlapping and 18-23 nt were the main distance failures."
"Primary","Prioritize guides with higher DeepCpf1 scores","DeepCpf1 Q4","DeepCpf1 Q1",125,137,0.672,0.45985401459854,0.556149732620321,0.359447004608295,"Treat the score as a prioritization signal, not an absolute cutoff."
"Primary","Best simple bundle: preferred PAM + 1-17 nt distance + DeepCpf1 above the median","All 3 preferred rules","Anything else",135,395,0.733333333333333,0.50379746835443,0.593301435406699,0.394230769230769,"This is the cleanest simple design bundle in the dataset."
"Secondary","Use long A-runs only as a tie-breaker filter","max_A < 5","max_A >= 5",499,31,0.575150300601202,0.354838709677419,0.448979591836735,0.36734693877551,"The drop for long A-runs is visible, but it is not a primary rule."
"Context","Avoid SV hotspot loci if you have equivalent alternatives","Not in SV hotspot","SV hotspot",510,20,0.564705882352941,0.5,0.443478260869565,0.464285714285714,"Useful as a contextual filter, not a primary cassette rule."
