"filter_label","total_guides","successful_guides","design_success_rate","design_success_lower","design_success_upper","baseline_rate","absolute_gain_vs_all"
"All assayed designs",530,298,0.562264150943396,0.519729605846345,0.603902605383184,0.562264150943396,0
"PAM distance not PAM/18-23 + PAM not TTTG + 5' PAM base not C",192,133,0.692708333333333,0.624200925696662,0.753655736756776,0.562264150943396,0.130444182389937
"DeepCpf1 top quartile + PAM distance not PAM/18-23 + PAM not TTTG",70,55,0.785714285714286,0.676088137365211,0.865612969828922,0.562264150943396,0.22345013477089
"All 4 optimal filters",58,45,0.775862068965517,0.653388823610813,0.864063393885902,0.562264150943396,0.213597918022121
