"donor_wt_gc_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",334,185,527,232,0.553892215568862,0.500269994519682,0.606288863370837,0.44022770398482,0.398429105547845,0.482891392402787
"40-49%",145,87,237,108,0.6,0.518673702733564,0.67616448435338,0.455696202531646,0.39350030378908,0.519305406229333
"50-59%",12,8,24,10,0.666666666666667,0.3906220888728,0.861879908908787,0.416666666666667,0.244676026098118,0.611653341347712
"<30%",39,18,45,20,0.461538461538462,0.315668856067279,0.614305517294842,0.444444444444444,0.309389300349976,0.58823865506479
