"max_T","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"1",100,62,162,76,0.62,0.522097552955111,0.709024007475213,0.469135802469136,0.393894776649151,0.545806670316461
"2",261,140,405,168,0.53639846743295,0.475810136126809,0.595930897488565,0.414814814814815,0.367850693428738,0.463379729730814
"3",169,96,266,126,0.568047337278107,0.492672203185487,0.64039772203344,0.473684210526316,0.41448302651747,0.533634656876382
