"max_A","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"0",3,3,4,3,1,0.438502968244955,1,0.75,0.300641842582402,0.9544127391903
"1",102,61,164,79,0.598039215686274,0.501006736194401,0.687955133972959,0.481707317073171,0.406532518041016,0.557719460926767
"2",230,133,365,161,0.578260869565217,0.513666914402514,0.640283544945262,0.441095890410959,0.391034203217329,0.49238454223096
"3",110,67,172,85,0.609090909090909,0.515699362809757,0.695120142216098,0.494186046511628,0.42041573094467,0.568210387074293
"4",54,23,79,24,0.425925925925926,0.303318240199293,0.558372661740099,0.30379746835443,0.21344462783876,0.412346607114045
"5",31,11,49,18,0.354838709677419,0.211166590938654,0.530520459356311,0.36734693877551,0.246651729686832,0.507329324392076
