"filter_label","total_guides","successful_guides","design_success_rate","design_success_lower","design_success_upper","filter_group","filter_set","baseline_rate","absolute_gain_vs_all"
"DeepCpf1 top quartile + PAM distance not PAM/18-23 + PAM not TTTG",70,55,0.785714285714286,0.676088137365211,0.865612969828922,"3-way combination","optimal_top_deepcpf1|optimal_pam_distance|optimal_non_tttg_pam",0.562264150943396,0.22345013477089
"DeepCpf1 top quartile + PAM distance not PAM/18-23 + 5' PAM base not C",85,63,0.741176470588235,0.639077247708533,0.822419001275278,"3-way combination","optimal_top_deepcpf1|optimal_pam_distance|optimal_non_c_pam5",0.562264150943396,0.178912319644839
"DeepCpf1 top quartile + PAM not TTTG + 5' PAM base not C",73,53,0.726027397260274,0.6143701175831,0.815085550053351,"3-way combination","optimal_top_deepcpf1|optimal_non_tttg_pam|optimal_non_c_pam5",0.562264150943396,0.163763246316878
"PAM distance not PAM/18-23 + PAM not TTTG + 5' PAM base not C",192,133,0.692708333333333,0.624200925696662,0.753655736756776,"3-way combination","optimal_pam_distance|optimal_non_tttg_pam|optimal_non_c_pam5",0.562264150943396,0.130444182389937
