"parameter","parameter_pretty","parameter_group","parameter_value","outcome_state","design_count","total_designs","fraction","value_order"
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","50-59%","Intended edit only",34,66,0.515151515151515,4
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","50-59%","Other variants observed",1,66,0.0151515151515152,4
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","50-59%","Unedited",31,66,0.46969696969697,4
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","<30%","Intended edit only",31,72,0.430555555555556,1
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","<30%","Other variants observed",3,72,0.0416666666666667,1
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","<30%","Unedited",38,72,0.527777777777778,1
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters",">=60%","Intended edit only",30,46,0.652173913043478,5
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters",">=60%","Other variants observed",2,46,0.0434782608695652,5
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters",">=60%","Unedited",14,46,0.304347826086957,5
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","30-39%","Intended edit only",81,162,0.5,2
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","30-39%","Other variants observed",5,162,0.0308641975308642,2
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","30-39%","Unedited",76,162,0.469135802469136,2
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","40-49%","Intended edit only",98,162,0.604938271604938,3
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","40-49%","Other variants observed",7,162,0.0432098765432099,3
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","40-49%","Unedited",57,162,0.351851851851852,3
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","50-59%","Intended edit only",46,88,0.522727272727273,4
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","50-59%","Other variants observed",2,88,0.0227272727272727,4
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","50-59%","Unedited",40,88,0.454545454545455,4
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","<30%","Intended edit only",46,116,0.396551724137931,1
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","<30%","Other variants observed",6,116,0.0517241379310345,1
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","<30%","Unedited",64,116,0.551724137931034,1
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters",">=60%","Intended edit only",29,44,0.659090909090909,5
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters",">=60%","Other variants observed",2,44,0.0454545454545455,5
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters",">=60%","Unedited",13,44,0.295454545454545,5
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","30-39%","Intended edit only",109,186,0.586021505376344,2
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","30-39%","Other variants observed",5,186,0.0268817204301075,2
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","30-39%","Unedited",72,186,0.387096774193548,2
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","40-49%","Intended edit only",55,91,0.604395604395604,3
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","40-49%","Other variants observed",4,91,0.043956043956044,3
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","40-49%","Unedited",32,91,0.351648351648352,3
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","50-59%","Intended edit only",47,93,0.505376344086022,4
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","50-59%","Other variants observed",2,93,0.021505376344086,4
"guide_gc_18_bin","Guide GC (first 18 nt)","GC and DR parameters","50-59%","Unedited",44,93,0.473118279569892,4
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","<30%","Intended edit only",18,39,0.461538461538462,1
"donor_wt_gc_bin","WT donor GC","GC and DR parameters","<30%","Other variants observed",1,39,0.0256410256410256,1
