"guide_gc_23_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",240,136,363,165,0.566666666666667,0.503410572714498,0.627822237959961,0.454545454545455,0.404065389127559,0.505977493958538
"40-49%",116,72,196,93,0.620689655172414,0.529863044749848,0.703778970922653,0.474489795918367,0.405746042197885,0.54421429106323
"50-59%",66,35,109,46,0.53030303030303,0.411576857265986,0.645695715036223,0.422018348623853,0.333509645792654,0.515836506076819
"<30%",77,36,112,44,0.467532467532468,0.360300756924954,0.577849790171308,0.392857142857143,0.307402943175507,0.485417345481695
">=60%",31,19,53,22,0.612903225806452,0.438241086196607,0.762668985796197,0.415094339622642,0.29260908779814,0.549055778186556
