"guide_gc_20_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",162,84,242,102,0.518518518518518,0.442042865493746,0.594136266326887,0.421487603305785,0.360976067654789,0.484452770173107
"40-49%",162,102,260,129,0.62962962962963,0.553069898806606,0.700184023937826,0.496153846153846,0.435879763409714,0.556539926774917
"50-59%",88,48,152,61,0.545454545454545,0.441700667745341,0.645405962557851,0.401315789473684,0.326752812662762,0.480743855893729
"<30%",72,33,101,38,0.458333333333333,0.348286270576262,0.572601327140109,0.376237623762376,0.28793111629302,0.47361359816239
">=60%",46,31,78,40,0.673913043478261,0.529677324193224,0.791340566907443,0.512820512820513,0.4039270123076,0.620510479751062
