file,rows,columns,column_names,workflow,description,sha256
endogenous_intended_loci.csv,24,7,crRNA_id;crRNA_promoter;intended_match;intended_variant_id;intended_chromosome;intended_position;alternate_allele,endogenous amplicon sequencing,"Exact intended chromosome, edited nucleotide position, and alternate allele used to assign HDR.",94fcf8c4d38a15540392bcf76f92be5a424ca8dbb937e03cb74132da262b7614
endogenous_guide_features.csv,12,13,crRNA_id;target;variant_position_annotation;crRNA_sequence;donor_sequence;mutation_type;alternate_allele;pam;pre_pam_nt;distance_from_pam;strand;crRNA_gc_pct;deepcpf1_score,endogenous amplicon sequencing,"Guide, donor, PAM context, GC content, and DeepCpf1 annotations.",ef08f36ba4fb4735531e3feacc7b96f19054e6eb5752900c9ec4ce62dfdac2ec
endogenous_sample_metadata.csv,492,13,sample;source_batch;source_file;cas_variant;direct_repeat;experiment;guide_promoter;donor_recruitment;strain;crRNA_id;timepoint;replicate;generations,endogenous amplicon sequencing,One row per endogenous amplicon sample included in Figure 4.,403368e658ff5d2c036df76bdd4357461e445f5d4b65f0ecd95565cc9b6f36d5
endogenous_freebayes_variants_publication.csv,1234,24,source_batch;source_file;source_row;cas_variant;direct_repeat;experiment;guide_promoter;donor_recruitment;strain;crRNA_id;timepoint;replicate;generations;sample;CHROM;POS;REF;ALT;TYPE;AO;RO;DP;total_count;QUAL,endogenous amplicon sequencing,"Count-level concatenated FreeBayes rows. AO, RO, and DP are retained; allele frequencies are deliberately not supplied.",f462288df37e238dd0a1dfe58118c4de4a68fd2d6d9757038eeaa9d94b64cb5d
fcs_publication_platemap.csv,1272,22,name;experiment_key;plate;instrument_well;biological_sample;well_position;assay;cas_variant;cas_promoter;guide_promoter;direct_repeat;donor_recruitment;guide_id;strain;replicate;timepoint;generations;control;figure;paper_panel;raw_fcs_available_locally;source_table,FCS GFP efficiency,One row per unique plotted FCS file with path-independent metadata.,53e53f8b1d7596a7c80e72d6a44d933f38f99355a7161b2ba14efd8fc12dc6fc
fcs_population_frequencies_publication.csv,1272,5,name;Population;Parent;Frequency;ParentFrequency,FCS GFP efficiency,GFP-gate frequencies corresponding to manuscript samples. These permit testing the annotation and efficiency-conversion step without raw FCS files.,7befde3496edf6fe2c26402c011b6cfa719ac1996a18b62be3aa18f921398832
fcs_expected_efficiencies_publication.csv,1272,4,name;assay;gfp_positive_fraction;editing_efficiency_pct,FCS GFP efficiency,Expected GFP fraction and editing percentage for regression checking.,4a0b085d4ade37798649f860490f4079b2a133bc88fb604cd993e9e74a0891f1
