"parameter","parameter_pretty","parameter_group","parameter_value","outcome_state","design_count","total_designs","fraction","value_order"
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","40-49%","Unedited",33,116,0.28448275862069,3
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","50-59%","Intended edit only",42,66,0.636363636363636,4
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","50-59%","Other variants observed",1,66,0.0151515151515152,4
"guide_gc_23_bin","Guide GC (23 nt)","GC and DR parameters","50-59%","Unedited",23,66,0.348484848484849,4
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","<30%","Intended edit only",47,72,0.652777777777778,1
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","<30%","Other variants observed",3,72,0.0416666666666667,1
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","<30%","Unedited",22,72,0.305555555555556,1
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters",">=60%","Intended edit only",36,46,0.782608695652174,5
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters",">=60%","Other variants observed",2,46,0.0434782608695652,5
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters",">=60%","Unedited",8,46,0.173913043478261,5
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","30-39%","Intended edit only",109,162,0.67283950617284,2
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","30-39%","Other variants observed",5,162,0.0308641975308642,2
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","30-39%","Unedited",48,162,0.296296296296296,2
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","40-49%","Intended edit only",111,162,0.685185185185185,3
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","40-49%","Other variants observed",7,162,0.0432098765432099,3
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","40-49%","Unedited",44,162,0.271604938271605,3
"guide_gc_20_bin","Guide GC (first 20 nt)","GC and DR parameters","50-59%","Intended edit only",56,88,0.636363636363636,4
