"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","odds_ratio_low","odds_ratio_high","feature_group","term_label"
"(Intercept)",-1.1228570169634,0.507383806452873,-2.21303282186577,0.0268953828944883,-2.12373595022309,-0.132371039317168,0.325348938084628,0.119584032940131,0.876015898430502,"Other","(Intercept)"
"roundround_2",0.0727931883937588,0.187329896552299,0.388582867622715,0.697584742353603,-0.292113218089345,0.443180672883417,1.07550808635795,0.746683993052516,1.55765373471192,"Round","Round 2 vs Round 1"
"pamTTTC",0.516017269935787,0.206863871012294,2.49447749097338,0.0126142726742959,0.112807745439694,0.924743639453549,1.67534191019496,1.1194166992941,2.52122183569527,"PAM","TTTC vs TTTA"
"pamTTTG",-0.587902442561935,0.181085434820702,-3.24654737220602,0.00116814005653238,-0.944803905311773,-0.234372572439312,0.555491238356755,0.38875579637449,0.791067031211192,"PAM","TTTG vs TTTA"
"pam_dist_bin7-11",0.106296436547345,0.227986869202238,0.466239292285969,0.641044227234263,-0.338094932465816,0.556904211405232,1.11215151000016,0.713127585724611,1.74526116882744,"Edit position","7-11 nt vs 1-6 nt"
"pam_dist_bin12-17",-0.0620669675546768,0.203601216698904,-0.304845759573552,0.760483628108617,-0.461177556832101,0.337769525130755,0.939819947239955,0.630540710647024,1.40181738249319,"Edit position","12-17 nt vs 1-6 nt"
"pam_dist_bin18-23",-1.04775397522038,0.254691453275608,-4.1138167839758,3.89170356775506e-05,-1.55229005571445,-0.552245798494429,0.350724601280936,0.211762470268679,0.575655551231575,"Edit position","18-23 nt vs 1-6 nt"
"pam_dist_binPAM",-0.816056521847247,0.262981405403661,-3.10309590366151,0.00191507569936008,-1.33413739586739,-0.301381704141428,0.442171916200074,0.263385274720006,0.739795335902957,"Edit position","PAM-overlap vs 1-6 nt"
"deepcpf1_score",1.77979652951802,0.405283590575397,4.39148431100103,1.12579460383725e-05,0.990574077140987,2.58085134199134,5.928649990588,2.6927798920935,13.2083782214287,"Guide score","DeepCpf1 score"
"max_A",0.0910367461949033,0.0726883237931873,1.25242599422049,0.210414679307334,-0.0506645623790245,0.234605687115516,1.09530925296627,0.950597483216829,1.26441009723044,"Homopolymers","max A run"
"max_T",0.341010840481508,0.122449612294241,2.78490747412146,0.00535429993019257,0.102217502718705,0.582721764074193,1.4063684864911,1.10762435683932,1.79090622747809,"Homopolymers","max T run"
"vardiff",0.050319993933123,0.0501745159196235,1.00289944030018,0.315909382708165,-0.0362306018075734,0.172844767434797,1.05160755057771,0.964417871334248,1.18868156867226,"Variant size","Variant length difference"
