"dr_canonical_flag","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"Canonical",146,105,217,144,0.719178082191781,0.64138418930966,0.78573391607788,0.663594470046083,0.598369129196779,0.723128475370516
"Non-canonical",384,267,616,372,0.6953125,0.647529473599873,0.739226497399471,0.603896103896104,0.564743924711468,0.641760493762785
