"assayed_colonies","consistency","design_count","total_designs","fraction"
2,"All edited",106,211,0.502369668246445
2,"Mixed",53,211,0.251184834123223
2,"None edited",52,211,0.246445497630332
3,"All edited",16,46,0.347826086956522
3,"Mixed",13,46,0.282608695652174
3,"None edited",17,46,0.369565217391304
