"deepcpf1_quartile","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"Q1 lowest",137,83,217,116,0.605839416058394,0.522196444926181,0.683708834973824,0.534562211981567,0.468171623136597,0.599750405997338
"Q2",138,97,230,134,0.702898550724638,0.62199826974342,0.772808724386492,0.582608695652174,0.518032634827617,0.644470627817258
"Q3",130,95,199,125,0.730769230769231,0.648708569923715,0.799583017217316,0.628140703517588,0.559159599707984,0.692268290312678
"Q4 highest",125,97,187,141,0.776,0.69531166457585,0.840230238097154,0.754010695187166,0.687581701364008,0.810213696905598
