"donor_wt_gc_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",334,233,527,334,0.697604790419162,0.646330337867926,0.744385474397311,0.633776091081594,0.591813280161314,0.67380274823489
"40-49%",145,100,237,136,0.689655172413793,0.610276143395398,0.759244556252254,0.573839662447257,0.510196228797464,0.635127587838514
"50-59%",12,10,24,13,0.833333333333333,0.551969137747027,0.953034857816146,0.541666666666667,0.350748653589195,0.72108666268789
"<30%",39,29,45,33,0.743589743589744,0.58918344078316,0.854312194590074,0.733333333333333,0.589611622468651,0.840350964789335
