"target_edit_status","colony_count","mean_high_conf_non_target_count","median_high_conf_non_target_count","frac_with_any_high_conf_non_target","mean_max_non_target_score_sv"
"Edited target",516,0.0213178294573643,0,0.0193798449612403,0.174862256054176
"Unedited target",636,0.0188679245283019,0,0.0188679245283019,0.312475945797016
