"max_A","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"0",3,3,4,3,1,0.438502968244955,1,0.75,0.300641842582402,0.9544127391903
"1",102,74,164,101,0.725490196078431,0.631894370845075,0.802717930539853,0.615853658536585,0.539569936434009,0.686834196770026
"2",230,158,365,219,0.68695652173913,0.62436932837119,0.743401213404053,0.6,0.548951822631282,0.648965190909995
"3",110,81,172,120,0.736363636363636,0.647058838753354,0.809716755469333,0.697674418604651,0.625337289891006,0.761374697464261
"4",54,38,79,46,0.703703703703704,0.57172427098847,0.808625748678202,0.582278481012658,0.472192537711332,0.684733718598782
"5",31,18,49,27,0.580645161290323,0.407662624953697,0.735844569326878,0.551020408163265,0.413151082194979,0.681471589313133
