"region_class","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"coding",316,201,522,279,0.636075949367089,0.581688372601312,0.687194843217849,0.53448275862069,0.49159617102122,0.57686552859588
"intergenic",156,123,222,165,0.788461538461538,0.717838210577854,0.845219713592868,0.743243243243243,0.681982281836135,0.796229294390647
"promoter",29,25,45,37,0.862068965517241,0.69441006279648,0.94502560035888,0.822222222222222,0.686701753735402,0.907056104858958
"unknown",29,23,44,35,0.793103448275862,0.616099095961321,0.90153929802159,0.795454545454545,0.654994219388983,0.888467469299187
