"hotspot_flag","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"Not hotspot",510,361,805,500,0.707843137254902,0.666938930637885,0.745639689402928,0.62111801242236,0.587106367311844,0.653979197570443
"SV hotspot",20,11,28,16,0.55,0.342085342450342,0.741802141744376,0.571428571428571,0.390707856274688,0.734914528758763
