"dr_perturbed_flag","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"Not perturbed",372,266,595,369,0.71505376344086,0.667167960365135,0.758543456629797,0.620168067226891,0.580517057277895,0.658277364674138
"Perturbed",158,106,238,147,0.670886075949367,0.594322702637202,0.739337166678652,0.61764705882353,0.554502784710698,0.677053873411843
