"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","odds_ratio_low","odds_ratio_high","feature_group","term_label"
"(Intercept)",0.825152122226273,0.763269706973828,1.08107542417449,0.279663564359549,-0.66748757969976,2.33031289151397,2.28222791651545,0.512995821176275,10.2811579168936,"Other","(Intercept)"
"pamTTTC",0.66929754350011,0.293058533346182,2.28383570974023,0.0223811881375411,0.101540108935443,1.25383239649271,1.9528650359693,1.10687431305198,3.50374500013777,"PAM","TTTC vs TTTA"
"pamTTTG",-0.588132862232866,0.243523402264512,-2.41509791980503,0.0157309800076561,-1.0704340702708,-0.114211414800434,0.555363256993686,0.342859659928308,0.892069339283603,"PAM","TTTG vs TTTA"
"pam_dist_bin7-11",-0.143107708475674,0.314345712408653,-0.455255799034512,0.648925221483894,-0.756308464189884,0.479830218853107,0.86666071716342,0.469396024844412,1.61580004651829,"Edit position","7-11 nt vs 1-6 nt"
"pam_dist_bin12-17",-0.111922436112359,0.28619084151618,-0.391076232626511,0.695740888081433,-0.673824841809454,0.450832391006467,0.894113605738117,0.50975511165494,1.56961817792147,"Edit position","12-17 nt vs 1-6 nt"
"pam_dist_bin18-23",-1.4622134488988,0.325914982358114,-4.48648736035131,7.24070107443286e-06,-2.11065132352375,-0.830050872902759,0.231722800087779,0.121159027004216,0.436027103792844,"Edit position","18-23 nt vs 1-6 nt"
"pam_dist_binPAM",-0.786699095131893,0.346662834029613,-2.2693494020899,0.0232470865288939,-1.4659293009499,-0.102404802990819,0.455345369039561,0.230863350228954,0.902664076583258,"Edit position","PAM-overlap vs 1-6 nt"
"deepcpf1_score",1.24907887661556,0.521500738520946,2.39516223919094,0.0166130125290881,0.229358910518154,2.27738495317857,3.48712940121212,1.25779339328561,9.75114733214687,"Guide score","DeepCpf1 score"
"pam_upstream_ntA",0.5127962406959,0.291061099805685,1.76181647440433,0.0781003103572167,-0.0556428969923064,1.08747831675729,1.66995426645251,0.945876851055676,2.9667833440667,"PAM upstream base","PAM 5' A vs C"
"pam_upstream_ntG",0.774225647117676,0.348223058824465,2.22336122636828,0.026191452027403,0.101991706281103,1.47136220048646,2.16891197351328,1.10737428743879,4.35516370831946,"PAM upstream base","PAM 5' G vs C"
"pam_upstream_ntT",0.862859392447529,0.2750383024768,3.13723355866157,0.00170550207908648,0.325522431723163,1.4057593688562,2.36992756750903,1.38475389640407,4.07862274470299,"PAM upstream base","PAM 5' T vs C"
"guide_gc_20",0.217951813862149,1.14786515539575,0.189875799293695,0.849406456835224,-2.02870210463923,2.47990960823066,1.24352714540491,0.131506091579438,11.9401850746128,"GC content","Guide GC (first 20 nt)"
"donor_wt_gc",-1.94956543119784,2.23549790328327,-0.872094502229019,0.383156825145855,-6.34755716760296,2.43151879189295,0.14233591289556,0.00175101936279719,11.3761469655829,"GC content","WT donor GC"
"dr_spacer_pair_anyTRUE",-0.373778777268873,0.225975465076317,-1.65406796327486,0.0981137045154838,-0.816339690521234,0.0710865684678615,0.68812912479623,0.442046724690882,1.07367416817308,"DR folding","Any DR-spacer pairing"
