"pam_upstream_nt","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"A",134,92,202,120,0.686567164179104,0.603752265542639,0.758983303478294,0.594059405940594,0.525195713086749,0.659412383929806
"C",113,67,183,96,0.592920353982301,0.500731501565108,0.678999222545645,0.524590163934426,0.452475782507978,0.595693398233846
"G",77,57,126,86,0.74025974025974,0.632577925204078,0.825108026283584,0.682539682539683,0.596890817383606,0.757387395583211
"T",206,156,322,214,0.757281553398058,0.694373452793182,0.810769813917402,0.664596273291925,0.611355628834404,0.713955951784103
