"filter_label","total_guides","successful_guides","design_success_rate","design_success_lower","design_success_upper","baseline_rate","absolute_gain_vs_all"
"All assayed designs",530,372,0.70188679245283,0.661603784190766,0.739264294644374,0.70188679245283,0
"DeepCpf1 top quartile",125,97,0.776,0.69531166457585,0.840230238097154,0.70188679245283,0.0741132075471699
"PAM distance not PAM/18-23",401,303,0.755610972568579,0.711255674089898,0.795115389281839,0.70188679245283,0.0537241801157484
"PAM not TTTG",324,252,0.777777777777778,0.729402779974445,0.819643093135969,0.70188679245283,0.0758909853249476
"5' PAM base not C",417,305,0.731414868105516,0.686903916697245,0.771701089902712,0.70188679245283,0.0295280756526854
"All 4 optimal filters",58,53,0.913793103448276,0.813563709371265,0.962614616873809,0.70188679245283,0.211906310995446
