"guide_gc_23_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",240,164,363,223,0.683333333333333,0.621987309049706,0.738902920305056,0.614325068870523,0.563303255927434,0.662952522977231
"40-49%",116,83,196,122,0.71551724137931,0.627538024756437,0.789679860373029,0.622448979591837,0.552842279277374,0.687348121069271
"50-59%",66,43,109,60,0.651515151515151,0.531121602130343,0.755241259380705,0.55045871559633,0.456942160288216,0.640539741443302
"<30%",77,57,112,81,0.74025974025974,0.632577925204078,0.825108026283584,0.723214285714286,0.634002198573006,0.797622200057822
">=60%",31,25,53,30,0.806451612903226,0.637197421882045,0.908129916384139,0.566037735849057,0.432653514276073,0.690496034402497
