"filter_label","total_guides","successful_guides","design_success_rate","design_success_lower","design_success_upper","baseline_rate","absolute_gain_vs_all"
"All assayed designs",530,372,0.70188679245283,0.661603784190766,0.739264294644374,0.70188679245283,0
"PAM distance not PAM/18-23 + PAM not TTTG + 5' PAM base not C",192,164,0.854166666666667,0.797303295974398,0.897135975561651,0.70188679245283,0.152279874213836
"DeepCpf1 top quartile + PAM distance not PAM/18-23 + PAM not TTTG",70,63,0.9,0.807670851514326,0.95071069855746,0.70188679245283,0.19811320754717
"All 4 optimal filters",58,53,0.913793103448276,0.813563709371265,0.962614616873809,0.70188679245283,0.211906310995446
