"max_T","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"1",100,73,162,102,0.73,0.63567883232055,0.807304158504236,0.62962962962963,0.553069898806606,0.700184023937826
"2",261,178,405,241,0.681992337164751,0.623203312940043,0.735501855136825,0.595061728395062,0.546577781716528,0.641759282293827
"3",169,121,266,173,0.715976331360947,0.64377695300129,0.77857541834574,0.650375939849624,0.591299597705988,0.70517078290057
