"preferred_rule_count","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"0",32,13,51,16,0.40625,0.255196348426654,0.577399751246171,0.313725490196078,0.203276784655255,0.450269995306943
"1",150,86,243,116,0.573333333333333,0.493325268724998,0.649679095434351,0.477366255144033,0.415406654121628,0.540030329387733
"2",213,157,330,216,0.737089201877934,0.674146310096393,0.791631777494858,0.654545454545455,0.601727545698743,0.703806705081008
"3",135,116,209,168,0.859259259259259,0.790627167092221,0.908011415532225,0.803827751196172,0.744714782725036,0.851973478592463
