"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","odds_ratio_low","odds_ratio_high","feature_group","term_label","selected_model"
"pamTTTC",0.669297543500109,0.293058533346183,2.28383570974023,0.0223811881375413,0.101540108935448,1.25383239649271,1.9528650359693,1.10687431305199,3.50374500013777,"PAM","TTTC vs TTTA","main_effects"
"pamTTTG",-0.588132862232866,0.243523402264512,-2.41509791980503,0.015730980007656,-1.07043407027079,-0.114211414800445,0.555363256993685,0.342859659928309,0.892069339283593,"PAM","TTTG vs TTTA","main_effects"
"pam_upstream_ntA",0.512796240695899,0.291061099805685,1.76181647440433,0.0781003103572172,-0.0556428969922903,1.08747831675727,1.66995426645251,0.945876851055692,2.96678334406666,"PAM upstream base","PAM 5' A vs C","main_effects"
"pam_upstream_ntG",0.774225647117676,0.348223058824465,2.22336122636828,0.026191452027403,0.10199170628112,1.47136220048643,2.16891197351328,1.10737428743881,4.35516370831936,"PAM upstream base","PAM 5' G vs C","main_effects"
"pam_upstream_ntT",0.862859392447529,0.2750383024768,3.13723355866157,0.00170550207908648,0.325522431723169,1.40575936885617,2.36992756750903,1.38475389640408,4.07862274470286,"PAM upstream base","PAM 5' T vs C","main_effects"
"pam_dist_bin7-11",-0.143107708475676,0.314345712408653,-0.455255799034516,0.648925221483891,-0.756308464189858,0.479830218853116,0.866660717163419,0.469396024844424,1.61580004651831,"Edit position","7-11 nt vs 1-6 nt","main_effects"
"pam_dist_bin12-17",-0.111922436112359,0.28619084151618,-0.391076232626513,0.695740888081432,-0.67382484180944,0.45083239100645,0.894113605738116,0.509755111654947,1.56961817792145,"Edit position","12-17 nt vs 1-6 nt","main_effects"
"pam_dist_bin18-23",-1.4622134488988,0.325914982358114,-4.48648736035132,7.24070107443277e-06,-2.11065132352374,-0.830050872902764,0.231722800087779,0.121159027004217,0.436027103792842,"Edit position","18-23 nt vs 1-6 nt","main_effects"
"pam_dist_binPAM",-0.786699095131894,0.346662834029614,-2.2693494020899,0.0232470865288938,-1.46592930094988,-0.10240480299084,0.455345369039561,0.230863350228959,0.902664076583239,"Edit position","PAM-overlap vs 1-6 nt","main_effects"
"deepcpf1_score",1.24907887661556,0.521500738520947,2.39516223919094,0.0166130125290881,0.229358910518182,2.27738495317856,3.48712940121212,1.25779339328564,9.75114733214672,"Guide score","DeepCpf1 score","main_effects"
"guide_gc_20",0.217951813862144,1.14786515539575,0.189875799293691,0.849406456835228,-2.02870210463913,2.47990960823065,1.24352714540491,0.13150609157945,11.9401850746127,"GC content","Guide GC (first 20 nt)","main_effects"
"donor_wt_gc",-1.94956543119783,2.23549790328327,-0.872094502229014,0.383156825145858,-6.34755716760283,2.4315187918927,0.142335912895561,0.00175101936279743,11.37614696558,"GC content","WT donor GC","main_effects"
"dr_spacer_pair_anyTRUE",-0.373778777268872,0.225975465076317,-1.65406796327486,0.0981137045154845,-0.81633969052122,0.0710865684678489,0.68812912479623,0.442046724690888,1.07367416817307,"DR folding","Any DR-spacer pairing","main_effects"
