"guide_gc_18_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",186,133,279,185,0.71505376344086,0.646344737803013,0.775059524980072,0.663082437275986,0.605739413852173,0.715995597625366
"40-49%",91,68,148,97,0.747252747252747,0.649203214556759,0.825272827456432,0.655405405405405,0.575781986201919,0.727165577377013
"50-59%",93,62,171,90,0.666666666666667,0.565934700059518,0.754176132403237,0.526315789473684,0.45172481088345,0.599750394486632
"<30%",116,74,167,99,0.637931034482759,0.547350924591984,0.719668521890874,0.592814371257485,0.517025061666306,0.664429722283625
">=60%",44,35,68,45,0.795454545454545,0.654994219388983,0.888467469299187,0.661764705882353,0.543372393866649,0.762857467847446
