"guide_gc_20_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"30-39%",162,112,242,153,0.691358024691358,0.616481842259023,0.757369186554187,0.632231404958678,0.569853583283833,0.690476795111289
"40-49%",162,116,260,166,0.716049382716049,0.642235801084305,0.779854070156415,0.638461538461538,0.578438146702691,0.694453006650622
"50-59%",88,58,152,83,0.659090909090909,0.555264555327239,0.749608650733932,0.546052631578947,0.466741634996683,0.623093253010287
"<30%",72,49,101,65,0.680555555555556,0.566076512678343,0.77674389721738,0.643564356435644,0.546474647708165,0.730133483523559
">=60%",46,37,78,49,0.804347826086957,0.668287410770154,0.893493898656015,0.628205128205128,0.517310537812646,0.72706438277397
