"pam_dist_bin","total_guides","successful_guides","total_assayed_colonies","edited_colonies","design_success_rate","design_success_lower","design_success_upper","colony_edit_rate","colony_edit_lower","colony_edit_upper"
"1-6",162,125,259,175,0.771604938271605,0.701113234257522,0.829514032445098,0.675675675675676,0.616457288946657,0.729759021099311
"7-11",99,74,156,107,0.747474747474748,0.653755310898759,0.822706230603024,0.685897435897436,0.609334933530524,0.753524617601719
"12-17",140,104,222,146,0.742857142857143,0.664653189157483,0.808089513520231,0.657657657657658,0.59303416343654,0.716917784117855
"18-23",67,29,103,41,0.432835820895522,0.321043114975417,0.551912635092071,0.398058252427184,0.308833943487527,0.494613143141614
"PAM",62,40,93,47,0.645161290322581,0.520811307577842,0.752572671489501,0.505376344086022,0.405585095721904,0.604741060163991
