pam_dist_bin,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
1-6,162,125,259,175,0.7716049382716049,0.7011132342575218,0.8295140324450979,0.6756756756756757,0.6164572889466566,0.7297590210993115
7-11,99,74,156,107,0.7474747474747475,0.6537553108987587,0.8227062306030238,0.6858974358974359,0.6093349335305245,0.7535246176017187
12-17,140,104,222,146,0.7428571428571429,0.6646531891574827,0.8080895135202311,0.6576576576576577,0.5930341634365405,0.7169177841178552
18-23,67,29,103,41,0.43283582089552236,0.3210431149754175,0.5519126350920709,0.39805825242718446,0.3088339434875273,0.4946131431416145
PAM,62,40,93,47,0.6451612903225806,0.5208113075778424,0.7525726714895009,0.5053763440860215,0.40558509572190393,0.6047410601639914
