dr_canonical_flag,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
Canonical,146,105,217,144,0.7191780821917808,0.64138418930966,0.7857339160778801,0.663594470046083,0.5983691291967785,0.723128475370516
Non-canonical,384,267,616,372,0.6953125,0.6475294735998735,0.7392264973994714,0.6038961038961039,0.5647439247114675,0.6417604937627853
