target_edit_status,colony_count,mean_high_conf_non_target_count,median_high_conf_non_target_count,frac_with_any_high_conf_non_target,mean_max_non_target_score_sv
Edited target,516,0.02131782945736434,0,0.01937984496124031,0.17486225605417607
Unedited target,636,0.018867924528301886,0,0.018867924528301886,0.31247594579701626
