max_t,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
1,100,73,162,102,0.73,0.63567883232055,0.8073041585042364,0.6296296296296297,0.5530698988066063,0.7001840239378259
2,261,178,405,241,0.6819923371647509,0.623203312940043,0.735501855136825,0.5950617283950618,0.546577781716528,0.6417592822938272
3,169,121,266,173,0.7159763313609467,0.6437769530012895,0.7785754183457395,0.650375939849624,0.5912995977059884,0.7051707829005694
