guide_gc_18_bin,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
30-39%,186,133,279,185,0.7150537634408602,0.6463447378030134,0.7750595249800716,0.6630824372759857,0.6057394138521732,0.7159955976253662
40-49%,91,68,148,97,0.7472527472527473,0.6492032145567589,0.8252728274564324,0.6554054054054054,0.5757819862019191,0.7271655773770127
50-59%,93,62,171,90,0.6666666666666666,0.5659347000595182,0.7541761324032367,0.5263157894736842,0.45172481088344973,0.5997503944866325
<30%,116,74,167,99,0.6379310344827587,0.5473509245919844,0.7196685218908739,0.592814371257485,0.5170250616663059,0.6644297222836246
>=60%,44,35,68,45,0.7954545454545454,0.6549942193889834,0.8884674692991871,0.6617647058823529,0.543372393866649,0.7628574678474458
