donor_wt_gc_bin,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
30-39%,334,233,527,334,0.6976047904191617,0.646330337867926,0.7443854743973107,0.6337760910815939,0.5918132801613138,0.6738027482348905
40-49%,145,100,237,136,0.6896551724137931,0.6102761433953978,0.7592445562522538,0.5738396624472574,0.5101962287974642,0.6351275878385139
50-59%,12,10,24,13,0.8333333333333334,0.5519691377470267,0.9530348578161462,0.5416666666666666,0.3507486535891948,0.72108666268789
<30%,39,29,45,33,0.7435897435897436,0.5891834407831603,0.8543121945900741,0.7333333333333333,0.5896116224686506,0.8403509647893347
