deepcpf1_quartile,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
Q1 lowest,137,83,217,116,0.6058394160583942,0.522196444926181,0.6837088349738237,0.5345622119815668,0.46817162313659727,0.5997504059973382
Q2,138,97,230,134,0.7028985507246377,0.6219982697434201,0.7728087243864923,0.5826086956521739,0.5180326348276171,0.644470627817258
Q3,130,95,199,125,0.7307692307692307,0.6487085699237152,0.7995830172173164,0.628140703517588,0.5591595997079837,0.6922682903126778
Q4 highest,125,97,187,141,0.776,0.6953116645758503,0.8402302380971537,0.7540106951871658,0.6875817013640075,0.8102136969055982
