region_class,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
coding,316,201,522,279,0.6360759493670886,0.5816883726013119,0.6871948432178491,0.5344827586206896,0.4915961710212196,0.5768655285958804
intergenic,156,123,222,165,0.7884615384615384,0.7178382105778539,0.8452197135928682,0.7432432432432432,0.6819822818361347,0.796229294390647
promoter,29,25,45,37,0.8620689655172413,0.6944100627964798,0.9450256003588804,0.8222222222222222,0.6867017537354023,0.9070561048589585
unknown,29,23,44,35,0.7931034482758621,0.6160990959613211,0.9015392980215897,0.7954545454545454,0.6549942193889834,0.8884674692991871
