max_a,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
0,3,3,4,3,1,0.4385029682449546,1,0.75,0.300641842582402,0.9544127391902995
1,102,74,164,101,0.7254901960784313,0.6318943708450752,0.8027179305398532,0.6158536585365854,0.5395699364340089,0.6868341967700261
2,230,158,365,219,0.6869565217391305,0.6243693283711903,0.7434012134040534,0.6,0.5489518226312824,0.6489651909099954
3,110,81,172,120,0.7363636363636363,0.6470588387533536,0.8097167554693325,0.6976744186046512,0.6253372898910063,0.761374697464261
4,54,38,79,46,0.7037037037037037,0.5717242709884697,0.8086257486782021,0.5822784810126582,0.47219253771133196,0.684733718598782
5,31,18,49,27,0.5806451612903226,0.4076626249536973,0.7358445693268777,0.5510204081632653,0.413151082194979,0.6814715893131335
