hotspot_flag,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
Not hotspot,510,361,805,500,0.707843137254902,0.666938930637885,0.7456396894029276,0.6211180124223602,0.5871063673118435,0.6539791975704432
SV hotspot,20,11,28,16,0.55,0.3420853424503424,0.7418021417443758,0.5714285714285714,0.3907078562746876,0.734914528758763
