dr_perturbed_flag,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
Not perturbed,372,266,595,369,0.7150537634408602,0.6671679603651346,0.7585434566297973,0.6201680672268908,0.5805170572778954,0.6582773646741379
Perturbed,158,106,238,147,0.6708860759493671,0.5943227026372024,0.7393371666786519,0.6176470588235294,0.5545027847106979,0.6770538734118429
