guide_gc_20_bin,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
30-39%,162,112,242,153,0.691358024691358,0.6164818422590226,0.7573691865541867,0.6322314049586777,0.5698535832838325,0.6904767951112891
40-49%,162,116,260,166,0.7160493827160493,0.6422358010843053,0.7798540701564148,0.6384615384615384,0.5784381467026909,0.6944530066506225
50-59%,88,58,152,83,0.6590909090909091,0.5552645553272387,0.7496086507339318,0.5460526315789473,0.46674163499668325,0.6230932530102873
<30%,72,49,101,65,0.6805555555555556,0.5660765126783435,0.7767438972173802,0.6435643564356436,0.5464746477081652,0.7301334835235593
>=60%,46,37,78,49,0.8043478260869565,0.668287410770154,0.8934938986560146,0.6282051282051282,0.5173105378126465,0.7270643827739703
