pam_upstream_nt,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
A,134,92,202,120,0.6865671641791045,0.6037522655426389,0.7589833034782941,0.594059405940594,0.5251957130867491,0.6594123839298063
C,113,67,183,96,0.5929203539823009,0.5007315015651077,0.6789992225456447,0.5245901639344263,0.45247578250797776,0.5956933982338459
G,77,57,126,86,0.7402597402597403,0.6325779252040777,0.8251080262835839,0.6825396825396826,0.5968908173836057,0.7573873955832108
T,206,156,322,214,0.7572815533980582,0.6943734527931823,0.8107698139174021,0.6645962732919255,0.6113556288344038,0.7139559517841028
