preferred_rule_count,total_guides,successful_guides,total_assayed_colonies,edited_colonies,design_success_rate,design_success_lower,design_success_upper,colony_edit_rate,colony_edit_lower,colony_edit_upper
0,32,13,51,16,0.40625,0.2551963484266544,0.5773997512461714,0.3137254901960784,0.20327678465525456,0.45026999530694345
1,150,86,243,116,0.5733333333333334,0.4933252687249979,0.6496790954343509,0.4773662551440329,0.415406654121628,0.540030329387733
2,213,157,330,216,0.7370892018779343,0.6741463100963933,0.7916317774948581,0.6545454545454545,0.601727545698743,0.7038067050810084
3,135,116,209,168,0.8592592592592593,0.7906271670922206,0.9080114155322246,0.8038277511961722,0.744714782725036,0.8519734785924629
