dataset_key,well_position,promoter,donor_recruitment,cas_variant,efficiency_avg,colony_count_avg,viability
fncas12a_rpr_no,C05,RPR1,No,FnCas12a,3.3099999999999996,15130.5,1.0366196218141956
fncas12a_rpr_no,E01,RPR1,No,FnCas12a,92.09859181932185,10276,0.7040285009591669
fncas12a_rpr_no,E02,RPR1,No,FnCas12a,98.8363284889726,6114,0.418881885448068
fncas12a_rpr_no,E05,RPR1,No,FnCas12a,70.69042567166974,10191.5,0.6982392436283913
fncas12a_rpr_no,G03,RPR1,No,FnCas12a,17.708,15934,1.091668950397369
fncas12a_rpr_no,H11,RPR1,No,FnCas12a,27.193785261373797,15534.5,1.0642984379281994
fncas12a_rpr_yes,A01,RPR1,Yes,FnCas12a,3.376,11981,0.7680128205128205
fncas12a_rpr_yes,A04,RPR1,Yes,FnCas12a,3.628,16486.5,1.0568269230769232
fncas12a_rpr_yes,A09,RPR1,Yes,FnCas12a,3.436,15600,1
fncas12a_rpr_yes,A12,RPR1,Yes,FnCas12a,9.872,15965,1.0233974358974358
fncas12a_rpr_yes,B05,RPR1,Yes,FnCas12a,21.66,16658.5,1.067852564102564
fncas12a_rpr_yes,C03,RPR1,Yes,FnCas12a,3.112,16035,1.0278846153846153
fncas12a_rpr_yes,C04,RPR1,Yes,FnCas12a,6.13,16655,1.067628205128205
fncas12a_rpr_yes,C05,RPR1,Yes,FnCas12a,4.586,17451.5,1.1186858974358975
fncas12a_rpr_yes,E01,RPR1,Yes,FnCas12a,97.348,14598.5,0.9358012820512821
fncas12a_rpr_yes,E02,RPR1,Yes,FnCas12a,99.552,15356.5,0.9843910256410257
fncas12a_rpr_yes,E05,RPR1,Yes,FnCas12a,96.274,14634,0.938076923076923
fncas12a_rpr_yes,G03,RPR1,Yes,FnCas12a,48.31,18171,1.1648076923076922
fncas12a_rpr_yes,H11,RPR1,Yes,FnCas12a,41.122,17088.5,1.0954166666666667
fncas12a_snr_no,A01,SNR52,No,FnCas12a,12.726,13970.5,0.9290131666445006
fncas12a_snr_no,A04,SNR52,No,FnCas12a,23.817954388013447,15393,1.0236068626147095
fncas12a_snr_no,A09,SNR52,No,FnCas12a,16.64226778721385,15038,1
fncas12a_snr_no,A12,SNR52,No,FnCas12a,74.84826375475771,11906,0.7917276233541695
fncas12a_snr_no,B05,SNR52,No,FnCas12a,62.953026852412705,12684,0.8434632264928847
fncas12a_snr_no,C03,SNR52,No,FnCas12a,22.734910870683052,15445.5,1.0270980183535046
fncas12a_snr_no,C04,SNR52,No,FnCas12a,14.60972558634465,15075.5,1.002493682670568
fncas12a_snr_no,C05,SNR52,No,FnCas12a,28.296151867818402,11782.5,0.7835150950924326
fncas12a_snr_no,E01,SNR52,No,FnCas12a,98.19194597950946,8173,0.5434898257747041
fncas12a_snr_no,E02,SNR52,No,FnCas12a,93.89275276532209,10069,0.6695704215986168
fncas12a_snr_no,E05,SNR52,No,FnCas12a,73.50353679821845,10197.5,0.6781154408830962
fncas12a_snr_no,G03,SNR52,No,FnCas12a,26.99108818978965,13147,0.8742518951988296
fncas12a_snr_no,H11,SNR52,No,FnCas12a,10.516,14402.5,0.9577403910094427
fncas12a_snr_yes,A01,SNR52,Yes,FnCas12a,3.294,14906,0.9178006280401453
fncas12a_snr_yes,A04,SNR52,Yes,FnCas12a,5.776,14624.5,0.9004679514808202
fncas12a_snr_yes,A09,SNR52,Yes,FnCas12a,3.0540000000000003,16241,1
